Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations	S1Mutations	S2Mutations	S3Mutations
20.000216	483	0	22965	846	22733	628	72	72	0	1	5.396563	0.000088	100.000000	1.001953	8	0	459	179	169	119
20.000216	484	0	22270	799	22159	725	72	72	0	1	5.409605	0.000088	100.000000	1.001953	10	0	487	176	187	134
20.000216	485	0	22443	630	21745	541	72	72	0	1	3.522344	0.000088	100.000000	1.001953	10	0	445	173	165	117
20.000216	486	0	22894	805	22672	705	72	72	0	1	3.520433	0.000088	100.000000	1.001953	10	0	474	190	170	124
20.000216	487	0	22748	989	21970	915	72	72	0	1	5.903074	0.000088	100.000000	1.001953	10	0	464	170	178	126
20.000216	488	0	22947	805	22893	705	72	72	0	1	3.520433	0.000088	100.000000	1.001953	10	0	473	190	169	124
20.000216	489	0	22687	930	22233	731	72	72	0	1	5.234832	0.000088	100.000000	1.001953	13	0	550	221	193	149
20.000216	490	0	22756	692	22548	601	72	72	0	1	3.501280	0.000088	100.000000	1.001953	10	0	512	200	184	138
20.000216	491	0	22918	1029	22745	569	72	72	0	1	4.015720	0.000088	100.000000	1.001953	10	0	423	163	157	113
20.000216	492	0	22484	628	22072	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	460	181	165	121
20.000216	493	0	22801	628	22529	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	467	178	168	128
20.000216	494	0	22096	358	19925	314	72	72	0	1	3.365728	0.000088	100.000000	1.001953	8	0	445	171	165	117
20.000216	495	0	21241	628	21138	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	456	181	163	119
20.000216	496	0	22985	358	22263	314	72	72	0	1	3.365728	0.000088	100.000000	1.001953	8	0	448	176	156	124
20.000216	497	0	21812	789	21541	628	72	72	0	1	5.121121	0.000088	100.000000	1.001953	8	0	425	166	157	110
20.000216	498	0	21914	358	21567	314	72	72	0	1	3.365728	0.000088	100.000000	1.001953	8	0	427	172	144	119
20.000216	499	0	22516	713	22452	628	72	72	0	1	5.445080	0.000088	100.000000	1.001953	8	0	442	165	169	116
20.000216	500	0	22635	930	22041	731	72	72	0	1	5.234832	0.000088	100.000000	1.001953	13	0	547	222	189	149
20.000216	501	0	22643	858	22406	846	72	72	0	1	5.425762	0.000088	100.000000	1.001953	9	0	469	185	169	124
20.000216	502	0	22769	628	21896	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	454	176	161	124
20.000216	503	0	22861	725	22571	687	72	72	0	1	5.123222	0.000088	100.000000	1.001953	9	0	442	157	166	128
20.000216	504	0	22352	628	22185	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	491	184	182	132
20.000216	505	0	22716	628	22191	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	462	180	166	123
20.000216	506	0	22881	975	21678	381	72	72	0	1	2.789524	0.000088	100.000000	1.001953	7	0	375	144	155	83
20.000216	507	0	22674	809	21468	628	72	72	0	1	5.092616	0.000088	100.000000	1.001953	8	0	440	164	164	120
20.000216	508	0	22162	801	20300	453	72	72	0	1	2.839136	0.000088	100.000000	1.001953	8	0	375	164	127	92
20.000216	509	0	22934	628	21952	597	72	72	0	1	4.674664	0.000088	100.000000	1.001953	7	0	452	172	162	125
20.000216	510	0	22981	633	22129	358	72	72	0	1	3.761056	0.000088	100.000000	1.001953	9	0	493	189	187	126
20.000216	511	0	21553	830	21188	628	72	72	0	1	5.212936	0.000088	100.000000	1.001953	8	0	487	173	177	145
20.000216	512	0	23001	938	22044	628	72	72	0	1	5.009449	0.000088	100.000000	1.001953	8	0	425	154	153	126
