Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	S1(MeanNum)	S2(MeanNum)	S3(MeanNum)	VarS1	VarS2	VarS3	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
31.066797	78	1241	1164	0	59.589745	0.000000	23.831686	0.000000	3.205128	4.679487	0.141026	0.000000	194.987152	49.448711	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	78	78	1	1	1	964	1	1823	78	0	0	0	0	0	0	0	0	0	0
32.068195	90	1325	1236	0	62.022221	0.000000	29.266171	0.000000	3.722222	4.777778	0.166667	0.000000	185.555359	38.500019	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	88	88	1	1	1	1034	1	1948	90	0	0	0	0	0	0	0	0	0	0
33.069370	104	1424	1321	0	63.701923	0.000000	32.709225	0.000000	3.519231	5.076923	0.259615	0.000000	249.384537	91.990364	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	103	103	1	1	1	1121	1	2092	104	0	0	0	0	0	0	0	0	0	0
34.071579	103	1528	1426	0	65.213593	0.000000	47.799046	0.000000	3.417476	5.165049	0.213592	0.000000	240.194351	77.300980	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	101	101	1	1	1	1194	1	2254	103	0	0	0	0	0	0	0	0	0	0
35.076565	89	1597	1509	0	67.325844	0.000000	43.230911	0.000000	3.696629	5.426966	0.168539	0.000000	259.775421	48.471901	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	86	86	1	1	1	1226	1	2352	89	0	0	0	0	0	0	0	0	0	0
36.079330	101	1687	1587	0	68.485146	0.000000	48.705212	0.000000	3.683168	5.584158	0.148515	0.000000	276.534698	48.772270	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	96	96	1	1	1	1297	1	2481	101	0	0	0	0	0	0	0	0	0	0
37.081589	110	1788	1679	0	70.390907	0.000000	62.256275	0.000000	4.063636	6.054545	0.254545	0.000000	437.672699	104.872856	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	109	109	1	1	1	1382	1	2636	110	0	0	0	0	0	0	0	0	0	0
38.084320	115	1897	1783	0	73.347824	0.000000	56.174690	0.000000	4.008696	5.817391	0.173913	0.000000	453.165436	76.521568	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	113	113	1	1	1	1461	1	2795	115	0	0	0	0	0	0	0	0	0	0
39.085785	95	1992	1898	0	72.852631	0.000000	79.451942	0.000000	4.600000	6.357895	0.284211	0.000000	417.831299	97.326340	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	92	92	1	1	1	1509	1	2924	95	0	0	0	0	0	0	0	0	0	0
40.089249	86	2071	1986	0	73.220932	0.000000	62.288403	0.000000	4.941861	6.302326	0.093023	0.000000	408.139465	31.255825	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	85	85	1	1	1	1560	1	3036	86	0	0	0	0	0	0	0	0	0	0
41.089596	74	2143	2070	0	75.189186	0.000000	78.018257	0.000000	5.743243	6.027027	0.189189	0.000000	331.945892	47.351372	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	69	69	1	1	1	1596	1	3136	74	0	0	0	0	0	0	0	0	0	0
42.092018	87	2231	2145	0	77.344826	0.000000	74.524765	0.000000	5.793103	6.287356	0.091954	0.000000	433.816132	31.264347	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	87	87	1	1	1	1669	1	3263	87	0	0	0	0	0	0	0	0	0	0
43.096844	90	2308	2219	0	80.122223	0.000000	76.196167	0.000000	5.633333	6.766667	0.122222	0.000000	468.100037	33.655563	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	88	88	1	1	1	1728	1	3377	90	0	0	0	0	0	0	0	0	0	0
44.096889	72	2370	2299	0	80.583336	0.000000	63.520847	0.000000	6.430555	6.194445	0.069444	0.000000	257.277740	16.652746	1.000000e+00	8.838835e-05	0.000000e+00	0.000000e+00	70	70	1	1	1	1761	1	3465	72	0	0	0	0	0	0	0	0	0	0
