Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	S1Mutations	S2Mutations	S3Mutations	BirthRate	MigrationRate	OriginTime	Descendants
1	21896	22770	628	7	0	0	456	176	162	125	4.674664	0.000088	19.956865	1
0	21374	22772	628	7	0	1	479	181	172	133	4.674664	0.000088	19.957270	2
1	22466	22774	789	8	0	0	461	170	177	122	5.121121	0.000088	19.958242	1
1	22886	22887	830	8	0	0	514	177	194	151	5.212936	0.000088	19.981401	1
1	22812	22983	628	7	0	0	463	172	168	130	4.674664	0.000088	19.995262	1
1	22676	22780	930	13	0	0	536	216	187	146	5.234832	0.000088	19.959538	1
1	22317	22911	628	7	0	0	453	172	165	123	4.674664	0.000088	19.986767	1
1	22704	22825	1006	10	0	0	492	206	175	121	5.309497	0.000088	19.968084	1
1	22773	22786	789	8	0	0	462	170	179	121	5.121121	0.000088	19.961317	1
1	22068	22847	805	10	0	0	494	191	176	137	3.520433	0.000088	19.971701	1
0	22575	22790	1021	9	0	1	490	169	184	146	5.366689	0.000088	19.961592	2
1	22263	22985	358	8	0	0	448	176	156	124	3.365728	0.000088	19.995670	1
1	22289	22792	692	10	0	0	505	197	179	139	3.501280	0.000088	19.961592	1
1	22245	22796	805	10	0	0	508	197	182	139	3.520433	0.000088	19.961872	1
1	22694	22883	358	8	0	0	428	170	144	122	3.365728	0.000088	19.977961	1
1	20703	22865	628	7	0	0	430	170	157	110	4.674664	0.000088	19.974710	1
1	22529	22802	628	7	0	0	468	179	168	128	4.674664	0.000088	19.962627	1
1	22195	22803	1001	8	0	0	476	186	169	129	5.280009	0.000088	19.963003	1
1	22195	22804	1001	8	0	0	477	187	170	128	5.280009	0.000088	19.963003	1
1	22723	22806	1028	9	0	0	507	179	187	150	5.362519	0.000088	19.963064	1
1	22727	22808	976	9	0	0	495	175	183	146	5.267804	0.000088	19.963449	1
0	22761	22810	938	8	0	1	430	151	159	128	5.009449	0.000088	19.964582	2
0	22615	22812	628	7	0	1	455	169	166	127	4.674664	0.000088	19.964645	2
1	22533	22814	825	10	0	0	528	201	189	148	3.849407	0.000088	19.964800	1
1	22424	22816	830	8	0	0	490	171	183	144	5.212936	0.000088	19.965475	1
1	22811	22818	628	7	0	0	459	172	165	129	4.674664	0.000088	19.965748	1
